date,symbol,exchange,company_name,stock_price_close,option_symbol,option_expiration,strike,call_put,style,open,high,low,close,bid,ask,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
2008-01-04,SPY,NYSEAN,SPDR TR UNIT SER-1,141.31,SYHBU,2008-02-15,151.0,C,A,1.32,1.32,0.86,0.86,0.87,0.94,0.905,0.0,0.193217,2669,26872,141.31,142.077,,0.184452,0.127716,0.028767,-0.032543,0.028950999999999998
2008-01-04,SPY,NYSEAN,SPDR TR UNIT SER-1,141.31,SFBNB,2008-02-15,132.0,P,A,1.3,1.64,1.29,1.57,1.51,1.58,1.545,0.0,0.272675,7877,2774,141.31,142.077,,-0.202309,0.13411099999999998,0.021811,-0.040568,-0.031043
2008-02-15,SPY,EXPIRED,SPDR TR UNIT SER-1,135.14,SYHBU,2008-02-15,151.0,C,A,0.0,0.0,0.0,0.0,0.0,0.02,-0.0,0.0,0.173439,0,22486,135.14,,*,0.0,0.0,0.0,0.0,0.0
2008-02-15,SPY,EXPIRED,SPDR TR UNIT SER-1,135.14,SFBNB,2008-02-15,132.0,P,A,0.11,0.12,0.01,0.01,0.0,0.01,-0.0,0.0,0.253889,12761,61398,135.14,,*,0.0,0.0,0.0,0.0,0.0
2008-01-11,SPY,NYSEAN,SPDR TR UNIT SER-1,140.15,SFBBR,2008-02-15,148.0,C,A,1.18,1.39,0.96,1.0,0.99,1.05,1.02,0.0,0.198081,4777,19934,140.15,140.744,,0.21453200000000003,0.126647,0.033946,-0.03925,0.027852999999999996
2008-01-11,SPY,NYSEAN,SPDR TR UNIT SER-1,140.15,SFBNB,2008-02-15,132.0,P,A,1.39,1.61,1.24,1.48,1.41,1.47,1.44,0.0,0.268498,3586,20577,140.15,140.744,,-0.210073,0.126128,0.024999,-0.044863,-0.026639
2008-02-15,SPY,EXPIRED,SPDR TR UNIT SER-1,135.14,SFBBR,2008-02-15,148.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.177822,8,25373,135.14,,*,0.0,0.0,0.0,0.0,0.0
2008-02-15,SPY,EXPIRED,SPDR TR UNIT SER-1,135.14,SFBNB,2008-02-15,132.0,P,A,0.11,0.12,0.01,0.01,0.0,0.01,-0.0,0.0,0.253889,12761,61398,135.14,,*,0.0,0.0,0.0,0.0,0.0
2008-01-16,SPY,NYSEAN,SPDR TR UNIT SER-1,136.98,SFBBO,2008-02-15,145.0,C,A,0.8,1.32,0.68,0.91,0.85,0.89,0.87,0.0,0.210344,17628,39031,136.98,137.451,,0.19535,0.108392,0.033414,-0.040863,0.021279
2008-01-16,SPY,NYSEAN,SPDR TR UNIT SER-1,136.98,SPYNY,2008-02-15,129.0,P,A,1.15,1.25,0.81,1.16,1.18,1.22,1.2,0.0,0.26969499999999996,2689,14096,136.98,137.451,,-0.19664,0.11103699999999998,0.026393,-0.046229,-0.021016999999999997
2008-02-15,SPY,EXPIRED,SPDR TR UNIT SER-1,135.14,SFBBO,2008-02-15,145.0,C,A,0.01,0.02,0.01,0.02,0.0,0.02,-0.0,0.0,0.189655,6,29666,135.14,,*,0.0,0.0,0.0,0.0,0.0
2008-02-15,SPY,EXPIRED,SPDR TR UNIT SER-1,135.14,SPYNY,2008-02-15,129.0,P,A,0.02,0.03,0.01,0.01,0.0,0.01,-0.0,0.0,0.269396,105,47828,135.14,,*,0.0,0.0,0.0,0.0,0.0
2008-01-31,SPY,NYSEAN,SPDR TR UNIT SER-1,137.37,SFBCQ,2008-03-20,147.0,C,A,0.56,1.24,0.56,0.92,0.97,1.06,1.015,0.0,0.192893,1373,29799,137.37,137.97899999999998,,0.19514600000000001,0.14366400000000001,0.028663,-0.029483999999999996,0.035216000000000004
2008-01-31,SPY,NYSEAN,SPDR TR UNIT SER-1,137.37,SPYOV,2008-03-20,126.0,P,A,2.87,2.87,1.52,1.74,1.76,1.82,1.79,0.0,0.29537800000000003,4416,18618,137.37,137.97899999999998,,-0.202442,0.141527,0.018956,-0.039719,-0.039894
2008-03-20,SPY,EXPIRED,SPDR TR UNIT SER-1,132.08,SFBCQ,2008-03-20,147.0,C,A,0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.0,0.18741300000000002,0,32776,132.08,,*,0.0,0.0,0.0,0.0,0.0
2008-03-20,SPY,EXPIRED,SPDR TR UNIT SER-1,132.08,SPYOV,2008-03-20,126.0,P,A,0.02,0.1,0.01,0.01,0.0,0.01,-0.0,0.0,0.292192,9014,86038,132.08,,*,-0.0009880000000000002,0.00022999999999999998,0.0016489999999999999,-0.003355,-4e-06
2008-02-04,SPY,NYSEAN,SPDR TR UNIT SER-1,137.82,SFBCQ,2008-03-20,147.0,C,A,1.13,1.22,1.1,1.14,0.99,1.07,1.03,0.0,0.196916,838,29202,137.82,138.39,,0.20056500000000002,0.141801,0.029763,-0.032017000000000004,0.033104
2008-02-04,SPY,NYSEAN,SPDR TR UNIT SER-1,137.82,SPYOW,2008-03-20,127.0,P,A,1.48,1.65,1.46,1.6,1.68,1.71,1.695,0.0,0.289998,402,30889,137.82,138.39,,-0.20330299999999998,0.136601,0.020117,-0.040931,-0.036635
2008-03-20,SPY,EXPIRED,SPDR TR UNIT SER-1,132.08,SFBCQ,2008-03-20,147.0,C,A,0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.0,0.18741300000000002,0,32776,132.08,,*,0.0,0.0,0.0,0.0,0.0
2008-03-20,SPY,EXPIRED,SPDR TR UNIT SER-1,132.08,SPYOW,2008-03-20,127.0,P,A,0.11,0.15,0.01,0.02,0.0,0.01,-0.0,0.0,0.28665799999999997,15657,99268,132.08,,*,-0.0043159999999999995,0.000877,0.006399,-0.012523999999999999,-1.6e-05
2008-02-14,SPY,NYSEAN,SPDR TR UNIT SER-1,135.17,RQQCN,2008-03-31,144.0,C,A,0.0,0.0,0.0,0.0,0.94,1.01,0.975,0.0,0.198715,0,8185,135.17,135.705,,0.19497899999999999,0.134349,0.030038,-0.031517,0.029708
2008-02-14,SPY,NYSEAN,SPDR TR UNIT SER-1,135.17,RQQOV,2008-03-31,126.0,P,A,1.6,1.83,1.6,1.83,1.87,1.95,1.91,0.0,0.28123899999999996,11,1801,135.17,135.705,,-0.23218200000000003,0.14540799999999998,0.022906,-0.041983,-0.038396
2008-03-31,SPY,EXPIRED,SPDR TR UNIT SER-1,131.97,RQQCN,2008-03-31,144.0,C,A,0.0,0.0,0.0,0.0,0.0,0.02,-0.0,0.0,-1.0,0,8906,131.97,,,0.0,0.0,0.0,0.0,0.0
2008-03-31,SPY,EXPIRED,SPDR TR UNIT SER-1,131.97,RQQOV,2008-03-31,126.0,P,A,0.0,0.0,0.0,0.0,0.0,0.02,-0.0,0.0,-1.0,0,36755,131.97,,,0.0,0.0,0.0,0.0,0.0
2008-02-19,SPY,NYSEAN,SPDR TR UNIT SER-1,135.52,RQQCN,2008-03-31,144.0,C,A,1.25,1.25,0.96,0.96,0.85,0.92,0.885,0.0,0.199072,21,8185,135.52,135.999,,0.188193,0.126136,0.031045999999999997,-0.032705,0.025528
2008-02-19,SPY,NYSEAN,SPDR TR UNIT SER-1,135.52,RQQOV,2008-03-31,126.0,P,A,1.52,1.52,1.4,1.4,1.52,1.58,1.55,0.0,0.276061,7,2810,135.52,135.999,,-0.20998499999999998,0.1297,0.023285,-0.041569999999999996,-0.030888
2008-03-31,SPY,EXPIRED,SPDR TR UNIT SER-1,131.97,RQQCN,2008-03-31,144.0,C,A,0.0,0.0,0.0,0.0,0.0,0.02,-0.0,0.0,-1.0,0,8906,131.97,,,0.0,0.0,0.0,0.0,0.0
2008-03-31,SPY,EXPIRED,SPDR TR UNIT SER-1,131.97,RQQOV,2008-03-31,126.0,P,A,0.0,0.0,0.0,0.0,0.0,0.02,-0.0,0.0,-1.0,0,36755,131.97,,,0.0,0.0,0.0,0.0,0.0
2008-02-29,SPY,NYSEAN,SPDR TR UNIT SER-1,133.82,SFBDM,2008-04-18,143.0,C,A,1.35,1.35,0.92,0.95,1.05,1.12,1.085,0.0,0.209102,1111,15940,133.82,134.393,,0.197736,0.137113,0.027433,-0.031241,0.034513
2008-02-29,SPY,NYSEAN,SPDR TR UNIT SER-1,133.82,SPYPS,2008-04-18,123.0,P,A,1.25,2.04,1.25,1.97,1.77,1.84,1.805,0.0,0.29736,541,3513,133.82,134.393,,-0.209048,0.140491,0.020005000000000002,-0.04036,-0.03608
2008-04-18,SPY,EXPIRED,SPDR TR UNIT SER-1,138.48,SFBDM,2008-04-18,143.0,C,A,0.01,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.160876,571,32610,138.48,,*,0.0,0.0,0.0,0.0,0.0
2008-04-18,SPY,EXPIRED,SPDR TR UNIT SER-1,138.48,SPYPS,2008-04-18,123.0,P,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.270365,56,45429,138.48,,*,0.0,0.0,0.0,0.0,0.0
2008-03-06,SPY,NYSEAN,SPDR TR UNIT SER-1,131.06,SFBDJ,2008-04-18,140.0,C,A,1.28,1.33,0.98,1.03,1.03,1.08,1.055,0.0,0.223281,2807,29923,131.06,131.548,,0.19651,0.125521,0.027851,-0.034359,0.029538
2008-03-06,SPY,NYSEAN,SPDR TR UNIT SER-1,131.06,SPYPP,2008-04-18,120.0,P,A,1.12,1.66,1.08,1.66,1.54,1.59,1.565,0.0,0.308446,23159,19169,131.06,131.548,,-0.194616,0.12570499999999998,0.020117,-0.042229,-0.028952
2008-04-18,SPY,EXPIRED,SPDR TR UNIT SER-1,138.48,SFBDJ,2008-04-18,140.0,C,A,0.09,0.1,0.01,0.01,0.0,0.01,-0.0,0.0,0.17808800000000002,54483,61869,138.48,,*,0.0,0.0,0.0,0.0,0.0
2008-04-18,SPY,EXPIRED,SPDR TR UNIT SER-1,138.48,SPYPP,2008-04-18,120.0,P,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.28686,36,62989,138.48,,*,0.0,0.0,0.0,0.0,0.0
2008-03-07,SPY,NYSEAN,SPDR TR UNIT SER-1,129.71,SFBDH,2008-04-18,138.0,C,A,1.25,1.63,1.02,1.23,1.1,1.17,1.135,0.0,0.225534,2497,33792,129.71,130.174,,0.21014699999999997,0.130307,0.029349,-0.036150999999999996,0.030575
2008-03-07,SPY,NYSEAN,SPDR TR UNIT SER-1,129.71,SPYPO,2008-04-18,119.0,P,A,1.69,1.81,1.3,1.57,1.51,1.59,1.55,0.0,0.307312,379,5085,129.71,130.174,,-0.197176,0.123203,0.020803,-0.042503,-0.028357999999999998
2008-04-18,SPY,EXPIRED,SPDR TR UNIT SER-1,138.48,SFBDH,2008-04-18,138.0,C,A,1.19,1.55,0.54,0.54,0.46,0.55,-0.505,0.0,0.191019,58084,87631,138.48,,*,0.0,0.0,0.0,0.0,0.0
2008-04-18,SPY,EXPIRED,SPDR TR UNIT SER-1,138.48,SPYPO,2008-04-18,119.0,P,A,0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.0,0.288053,0,10887,138.48,,*,0.0,0.0,0.0,0.0,0.0
2008-06-06,SPY,NYSEAN,SPDR TR UNIT SER-1,136.29,SFBGM,2008-07-18,143.0,C,A,1.65,1.77,1.04,1.04,1.02,1.04,1.03,0.0,0.182758,3378,36190,136.29,136.69799999999998,,0.219373,0.136703,0.035275,-0.031691000000000004,0.033846
2008-06-06,SPY,NYSEAN,SPDR TR UNIT SER-1,136.29,SPYSW,2008-07-18,127.0,P,A,0.72,1.45,0.72,1.44,1.48,1.5,1.49,0.0,0.263292,2877,4908,136.29,136.69799999999998,,-0.20844200000000002,0.131025,0.02386,-0.039626999999999996,-0.031247000000000004
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SFBGM,2008-07-18,143.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.176029,12,37279,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SPYSW,2008-07-18,127.0,P,A,1.1,1.83,0.87,0.98,0.92,1.0,-0.96,0.0,0.22192699999999999,17913,51603,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-06-09,SPY,NYSEAN,SPDR TR UNIT SER-1,136.62,SFBGM,2008-07-18,143.0,C,A,1.09,1.14,0.8,0.98,0.96,0.99,0.975,0.0,0.180453,4255,37936,136.62,136.998,,0.21783000000000002,0.131617,0.036821,-0.032344,0.031344
2008-06-09,SPY,NYSEAN,SPDR TR UNIT SER-1,136.62,SPYSW,2008-07-18,127.0,P,A,1.3,1.61,1.19,1.35,1.27,1.34,1.305,0.0,0.263446,1485,6922,136.62,136.998,,-0.193397,0.126131,0.023605,-0.039591,-0.02698
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SFBGM,2008-07-18,143.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.176029,12,37279,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SPYSW,2008-07-18,127.0,P,A,1.1,1.83,0.87,0.98,0.92,1.0,-0.96,0.0,0.22192699999999999,17913,51603,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-06-10,SPY,NYSEAN,SPDR TR UNIT SER-1,135.94,SFBGM,2008-07-18,143.0,C,A,0.8,0.98,0.76,0.83,0.74,0.77,0.755,0.0,0.176236,1048,40871,135.94,136.312,,0.184005,0.11896,0.034691,-0.028707999999999997,0.025768
2008-06-10,SPY,NYSEAN,SPDR TR UNIT SER-1,135.94,SPYSW,2008-07-18,127.0,P,A,1.54,1.55,1.17,1.32,1.36,1.41,1.385,0.0,0.262033,4457,7653,135.94,136.312,,-0.206265,0.12445899999999999,0.025105000000000002,-0.041174,-0.027875999999999998
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SFBGM,2008-07-18,143.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.176029,12,37279,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SPYSW,2008-07-18,127.0,P,A,1.1,1.83,0.87,0.98,0.92,1.0,-0.96,0.0,0.22192699999999999,17913,51603,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-06-11,SPY,NYSEAN,SPDR TR UNIT SER-1,133.94,SFBGK,2008-07-18,141.0,C,A,1.26,1.26,0.8,0.84,0.82,0.85,0.835,0.0,0.188385,4898,13313,133.94,134.297,,0.193518,0.11858699999999998,0.034436,-0.03149,0.025908999999999998
2008-06-11,SPY,NYSEAN,SPDR TR UNIT SER-1,133.94,SPYSU,2008-07-18,125.0,P,A,1.05,1.38,1.03,1.34,1.36,1.39,1.375,0.0,0.26858899999999997,3763,40271,133.94,134.297,,-0.205573,0.121004,0.025138,-0.042129,-0.026702999999999998
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SFBGK,2008-07-18,141.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.176029,1,23223,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SPYSU,2008-07-18,125.0,P,A,0.22,0.46,0.01,0.01,0.0,0.01,-0.0,0.0,0.23524899999999999,102272,85625,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-06-12,SPY,NYSEAN,SPDR TR UNIT SER-1,134.45,SFBGK,2008-07-18,141.0,C,A,0.87,1.1,0.71,0.86,0.83,0.86,0.845,0.0,0.18341,3725,12944,134.45,134.797,,0.20141099999999998,0.118146,0.036476999999999996,-0.031912,0.025748000000000004
2008-06-12,SPY,NYSEAN,SPDR TR UNIT SER-1,134.45,SPYSU,2008-07-18,125.0,P,A,1.14,1.41,0.99,1.2,1.17,1.26,1.215,0.0,0.267234,3051,42287,134.45,134.797,,-0.189084,0.11617000000000001,0.024265000000000002,-0.040657,-0.024056
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SFBGK,2008-07-18,141.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.176029,1,23223,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-07-18,SPY,EXPIRED,SPDR TR UNIT SER-1,125.98,SPYSU,2008-07-18,125.0,P,A,0.22,0.46,0.01,0.01,0.0,0.01,-0.0,0.0,0.23524899999999999,102272,85625,125.98,,*,0.0,0.0,0.0,0.0,0.0
2008-06-18,SPY,NYSEAN,SPDR TR UNIT SER-1,134.25,SFBHM,2008-08-15,143.0,C,A,1.0,1.08,0.9,0.97,0.92,0.99,0.955,0.0,0.175746,341,8824,134.25,134.836,,0.190649,0.148086,0.029144,-0.023818000000000002,0.039938
2008-06-18,SPY,NYSEAN,SPDR TR UNIT SER-1,134.25,SPYTS,2008-08-15,123.0,P,A,1.49,1.57,1.49,1.53,1.55,1.62,1.585,0.0,0.266258,1035,296,134.25,134.836,,-0.19243,0.148988,0.01945,-0.031706,-0.039227
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHM,2008-08-15,143.0,C,A,0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.0,0.146589,0,8908,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTS,2008-08-15,123.0,P,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.23215300000000003,495,111483,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-06-20,SPY,NYSEAN,SPDR TR UNIT SER-1,131.58,SFBHK,2008-08-15,141.0,C,A,1.21,1.21,0.9,0.95,0.88,0.95,0.915,0.0,0.179405,424,26496,131.58,132.13299999999998,,0.186635,0.138326,0.029026999999999997,-0.023892,0.036273
2008-06-20,SPY,NYSEAN,SPDR TR UNIT SER-1,131.58,SPYTR,2008-08-15,122.0,P,A,1.36,1.77,1.36,1.7,1.66,1.73,1.695,0.0,0.266131,10331,2611,131.58,132.13299999999998,,-0.208191,0.147629,0.02109,-0.033292,-0.040303
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHK,2008-08-15,141.0,C,A,0.0,0.0,0.0,0.0,0.0,0.02,-0.0,0.0,0.146483,0,20963,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTR,2008-08-15,122.0,P,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.23467800000000003,198,69908,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-06-23,SPY,NYSEAN,SPDR TR UNIT SER-1,131.45,SFBHJ,2008-08-15,140.0,C,A,1.15,1.22,1.0,1.02,1.0,1.03,1.015,0.0,0.181171,1374,27832,131.45,131.97,,0.205447,0.142503,0.03135,-0.02625,0.037739999999999996
2008-06-23,SPY,NYSEAN,SPDR TR UNIT SER-1,131.45,SPYTR,2008-08-15,122.0,P,A,1.5,1.61,1.5,1.53,1.54,1.59,1.565,0.0,0.262038,216,12866,131.45,131.97,,-0.202763,0.14122300000000002,0.021681,-0.033181,-0.037092
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHJ,2008-08-15,140.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.148605,1,27224,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTR,2008-08-15,122.0,P,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.23467800000000003,198,69908,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-06-24,SPY,NYSEAN,SPDR TR UNIT SER-1,131.19,SFBHJ,2008-08-15,140.0,C,A,0.84,1.13,0.81,0.93,0.88,0.93,0.905,0.0,0.178816,4772,28503,131.19,131.69799999999998,,0.19128,0.134927,0.030774,-0.024959000000000002,0.034461
2008-06-24,SPY,NYSEAN,SPDR TR UNIT SER-1,131.19,SPYTR,2008-08-15,122.0,P,A,1.72,1.78,1.39,1.5,1.56,1.59,1.575,0.0,0.261359,1448,12988,131.19,131.69799999999998,,-0.206118,0.139959,0.022209,-0.033684,-0.036907
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHJ,2008-08-15,140.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.148605,1,27224,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTR,2008-08-15,122.0,P,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.23467800000000003,198,69908,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-06-25,SPY,NYSEAN,SPDR TR UNIT SER-1,131.81,SFBHJ,2008-08-15,140.0,C,A,1.01,1.23,0.92,0.92,0.9,0.94,0.92,0.0,0.17289300000000002,2554,30774,131.81,132.309,,0.199561,0.137757,0.032822000000000004,-0.025192,0.035468
2008-06-25,SPY,NYSEAN,SPDR TR UNIT SER-1,131.81,SPYTS,2008-08-15,123.0,P,A,1.47,1.49,1.15,1.16,1.42,1.46,1.44,0.0,0.24651399999999998,658,9531,131.81,132.309,,-0.202484,0.139159,0.023413999999999997,-0.031823000000000004,-0.035552999999999994
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHJ,2008-08-15,140.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.148605,1,27224,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTS,2008-08-15,123.0,P,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.23215300000000003,495,111483,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-06-26,SPY,NYSEAN,SPDR TR UNIT SER-1,128.23,SFBHG,2008-08-15,137.0,C,A,1.49,1.54,1.01,1.01,1.0,1.03,1.015,0.0,0.194717,6963,36769,128.23,128.705,,0.202765,0.133968,0.030545,-0.027891000000000003,0.034227
2008-06-26,SPY,NYSEAN,SPDR TR UNIT SER-1,128.23,SPYTO,2008-08-15,119.0,P,A,1.13,1.6,1.13,1.6,1.59,1.62,1.605,0.0,0.275365,588,1490,128.23,128.705,,-0.207277,0.134326,0.022058,-0.035638,-0.035035000000000004
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHG,2008-08-15,137.0,C,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.156683,13,73765,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTO,2008-08-15,119.0,P,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.248363,1,61085,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-06-27,SPY,NYSEAN,SPDR TR UNIT SER-1,127.53,SFBHF,2008-08-15,136.0,C,A,1.25,1.35,1.0,1.04,1.05,1.06,1.055,0.0,0.196772,3235,10271,127.53,127.99,,0.20983200000000002,0.134603,0.031330000000000004,-0.028874,0.034508
2008-06-27,SPY,NYSEAN,SPDR TR UNIT SER-1,127.53,SPYTN,2008-08-15,118.0,P,A,1.4,1.65,1.31,1.43,1.42,1.46,1.44,0.0,0.272273,1170,3865,127.53,127.99,,-0.19472,0.13158699999999998,0.02182,-0.03415,-0.032055
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHF,2008-08-15,136.0,C,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.159709,72,59128,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTN,2008-08-15,118.0,P,A,0.02,0.02,0.01,0.01,0.0,0.02,-0.0,0.0,0.251734,12,74468,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-06-30,SPY,NYSEAN,SPDR TR UNIT SER-1,127.98,SFBHF,2008-08-15,136.0,C,A,1.05,1.19,0.91,0.93,0.98,1.03,1.005,0.0,0.19253,6946,13767,127.98,128.409,,0.209758,0.130851,0.032925,-0.02922,0.032565
2008-06-30,SPY,NYSEAN,SPDR TR UNIT SER-1,127.98,SPYTO,2008-08-15,119.0,P,A,1.62,1.65,1.32,1.53,1.44,1.49,1.465,0.0,0.27157,941,2296,127.98,128.409,,-0.20229,0.128576,0.023014,-0.036137999999999997,-0.031379000000000004
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHF,2008-08-15,136.0,C,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.159709,72,59128,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTO,2008-08-15,119.0,P,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.248363,1,61085,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-07-01,SPY,NYSEAN,SPDR TR UNIT SER-1,128.38,SFBHF,2008-08-15,136.0,C,A,0.76,1.05,0.68,1.04,1.01,1.04,1.025,0.0,0.189823,2887,19656,128.38,128.80100000000002,,0.21655500000000003,0.132262,0.03429,-0.029796,0.033012
2008-07-01,SPY,NYSEAN,SPDR TR UNIT SER-1,128.38,SPYTO,2008-08-15,119.0,P,A,1.78,1.95,1.37,1.37,1.34,1.39,1.365,0.0,0.272949,5642,2617,128.38,128.80100000000002,,-0.192026,0.127191,0.022373,-0.035786,-0.029217
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SFBHF,2008-08-15,136.0,C,A,0.02,0.02,0.01,0.01,0.0,0.01,-0.0,0.0,0.159709,72,59128,130.17,,*,0.0,0.0,0.0,0.0,0.0
2008-08-15,SPY,EXPIRED,SPDR TR UNIT SER-1,130.17,SPYTO,2008-08-15,119.0,P,A,0.01,0.01,0.01,0.01,0.0,0.01,-0.0,0.0,0.248363,1,61085,130.17,,*,0.0,0.0,0.0,0.0,0.0
